wwtp_jurisdiction	wwtp_id	reporting_jurisdiction	sample_location	sample_location_specify	key_plot_id	county_names	county_fips	population_served	date_start	date_end	ptc_15d	detect_prop_15d	percentile	sampling_prior	first_sample_date
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-23	2023-04-06	NA	100	64	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-24	2023-04-07	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-25	2023-04-08	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-26	2023-04-09	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-27	2023-04-10	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-28	2023-04-11	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-29	2023-04-12	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-30	2023-04-13	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-03-31	2023-04-14	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-01	2023-04-15	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-02	2023-04-16	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-03	2023-04-17	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-04	2023-04-18	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-05	2023-04-19	-69	100	62	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-06	2023-04-20	-52	100	51.333	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-07	2023-04-21	-70	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-08	2023-04-22	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-09	2023-04-23	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-10	2023-04-24	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-11	2023-04-25	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-12	2023-04-26	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-13	2023-04-27	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-14	2023-04-28	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-15	2023-04-29	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-16	2023-04-30	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-17	2023-05-01	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-18	2023-05-02	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-19	2023-05-03	-100	100	33.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-20	2023-05-04	266	100	36.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-21	2023-05-05	490	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-22	2023-05-06	-67	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-23	2023-05-07	-67	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-24	2023-05-08	-67	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-25	2023-05-09	-67	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-26	2023-05-10	-67	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-27	2023-05-11	-67	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-28	2023-05-12	-67	100	48.667	no	2023-04-06
Georgia	2715	Georgia	Treatment plant	NA	NWSS_ga_2715_Treatment plant_raw wastewater	Clayton	13063	123715	2023-04-29	2023-05-13	-58	100	58.667	no	2023-04-06
